row_in_bag,weight
0,0.32586705684661865
1,0.2233709841966629
2,0.14966322481632233
3,0.09973274171352386
4,0.06623511016368866
5,0.04393305256962776
6,0.02916642092168331
7,0.01942174881696701
8,0.012998775579035282
9,0.008761346340179443
10,0.005957649555057287
11,0.004093717318028212
12,0.002846528310328722
13,0.0020053479820489883
14,0.001432738616131246
15,0.0010389131493866444
16,0.000765005883295089
17,0.0005722363712266088
18,0.0004348952497821301
19,0.0003358088724780828
20,0.0002634124248288572
21,0.00020984560251235962
22,0.00016971587319858372
23,0.0001392850244883448
24,0.0001159363891929388
25,9.781779226614162e-05
26,8.360552601516247e-05
27,7.234283111756667e-05
28,6.333154306048527e-05
29,5.6056487665046006e-05
30,5.0134312914451584e-05
31,4.5276425225893036e-05
