row_in_bag,weight
0,0.3292596638202667
1,0.22224688529968262
2,0.1489100158214569
3,0.09923083335161209
4,0.06590177118778229
5,0.04371196776628494
6,0.029019629582762718
7,0.019324012100696564
8,0.012933360412716866
9,0.008717256598174572
10,0.005927668884396553
11,0.004073114134371281
12,0.0028322022408246994
13,0.001995256170630455
14,0.0014255291316658258
15,0.0010336849372833967
16,0.0007611560286022723
17,0.0005693566636182368
18,0.000432706467108801
19,0.00033411907497793436
20,0.00026208654162473977
21,0.00020878948271274567
22,0.0001688616321189329
23,0.00013858408783562481
24,0.00011535289377206936
25,9.732548642205074e-05
26,8.318475738633424e-05
27,7.197874219855294e-05
28,6.301280518528074e-05
29,5.577436968451366e-05
30,4.988199725630693e-05
31,4.5048600441077724e-05
