row_in_bag,weight
0,0.05691801384091377
1,0.05449609085917473
2,0.05216624215245247
3,0.04992666840553284
4,0.04777546972036362
5,0.04571064934134483
6,0.04373009130358696
7,0.041831642389297485
8,0.04001307114958763
9,0.038272079080343246
10,0.03660636022686958
11,0.035013556480407715
12,0.03349129483103752
13,0.032037198543548584
14,0.03064887970685959
15,0.029323969036340714
16,0.02806011773645878
17,0.0268549881875515
18,0.02570628747344017
19,0.02461174689233303
20,0.023569149896502495
21,0.022576313465833664
22,0.02163112163543701
23,0.020731499418616295
24,0.019875437021255493
25,0.019060976803302765
26,0.018286222591996193
27,0.01754935272037983
28,0.01684858277440071
29,0.016182217746973038
30,0.01554860733449459
31,0.01494617760181427
