row_in_bag,weight
0,0.056918010115623474
1,0.05449609085917473
2,0.05216623842716217
3,0.04992666468024254
4,0.047775473445653915
5,0.04571064934134483
6,0.04373008385300636
7,0.04183163866400719
8,0.040013063699007034
9,0.038272082805633545
10,0.03660636022686958
11,0.035013552755117416
12,0.03349129110574722
13,0.032037194818258286
14,0.03064887598156929
15,0.029323969036340714
16,0.02806011587381363
17,0.0268549881875515
18,0.02570628561079502
19,0.02461174502968788
20,0.023569148033857346
21,0.022576311603188515
22,0.021631119772791862
23,0.020731499418616295
24,0.019875435158610344
25,0.019060973078012466
26,0.01828622631728649
27,0.01754935085773468
28,0.01684858277440071
29,0.01618221588432789
30,0.015548605471849442
31,0.01494617573916912
