row_in_bag,weight
0,0.05691801384091377
1,0.05449609458446503
2,0.05216624215245247
3,0.04992666840553284
4,0.047775473445653915
5,0.04571065306663513
6,0.04373009502887726
7,0.041831646114587784
8,0.04001307114958763
9,0.038272079080343246
10,0.036606356501579285
11,0.035013556480407715
12,0.03349129483103752
13,0.032037198543548584
14,0.03064887598156929
15,0.029323969036340714
16,0.02806011773645878
17,0.02685498632490635
18,0.02570628747344017
19,0.02461174689233303
20,0.023569148033857346
21,0.022576313465833664
22,0.021631119772791862
23,0.020731499418616295
24,0.019875438883900642
25,0.019060974940657616
26,0.018286222591996193
27,0.01754935085773468
28,0.01684858277440071
29,0.016182217746973038
30,0.01554860733449459
31,0.01494617760181427
