row_in_bag,weight
0,0.08054549992084503
1,0.07466670870780945
2,0.06918255239725113
3,0.06407339870929718
4,0.05931970477104187
5,0.05490219593048096
6,0.05080188065767288
7,0.0470002144575119
8,0.043479084968566895
9,0.04022098705172539
10,0.03720897436141968
11,0.03442677482962608
12,0.031858786940574646
13,0.029490143060684204
14,0.027306679636240005
15,0.025294993072748184
16,0.02344239316880703
17,0.021736949682235718
18,0.02016744762659073
19,0.018723376095294952
20,0.017394917085766792
21,0.01617290824651718
22,0.015048845671117306
23,0.014014811255037785
24,0.013063483871519566
25,0.012188090942800045
26,0.011382377706468105
27,0.01064056996256113
28,0.009957359172403812
29,0.009327858686447144
30,0.008747591637074947
31,0.008212432265281677
