row_in_bag,weight
0,0.08054549992084503
1,0.07466670870780945
2,0.06918255239725113
3,0.06407339870929718
4,0.05931970104575157
5,0.05490219593048096
6,0.05080188065767288
7,0.047000203281641006
8,0.043479081243276596
9,0.04022098332643509
10,0.03720897063612938
11,0.034426771104335785
12,0.031858786940574646
13,0.029490143060684204
14,0.027306677773594856
15,0.025294987484812737
16,0.02344239316880703
17,0.02173694781959057
18,0.02016744762659073
19,0.018723372370004654
20,0.017394915223121643
21,0.01617290824651718
22,0.015048845671117306
23,0.014014809392392635
24,0.013063487596809864
25,0.012188090942800045
26,0.011382377706468105
27,0.010640567168593407
28,0.009957359172403812
29,0.009327858686447144
30,0.008747593499720097
31,0.008212430402636528
