row_in_bag,weight
0,0.08054549247026443
1,0.07466670870780945
2,0.06918255239725113
3,0.06407339125871658
4,0.05931970104575157
5,0.05490219220519066
6,0.05080188065767288
7,0.047000207006931305
8,0.043479084968566895
9,0.04022098332643509
10,0.03720897063612938
11,0.034426771104335785
12,0.031858786940574646
13,0.029490141198039055
14,0.027306675910949707
15,0.025294989347457886
16,0.02344238944351673
17,0.021736949682235718
18,0.020167449489235878
19,0.018723374232649803
20,0.017394915223121643
21,0.01617291010916233
22,0.015048843808472157
23,0.014014809392392635
24,0.013063482940196991
25,0.01218809187412262
26,0.01138237863779068
27,0.010640568099915981
28,0.009957357309758663
29,0.009327859617769718
30,0.008747591637074947
31,0.008212431333959103
