row_in_bag,weight
0,0.1963927000761032
1,0.15975429117679596
2,0.1292421519756317
3,0.1040329709649086
4,0.08336417376995087
5,0.06654109805822372
6,0.05294142663478851
7,0.04201643913984299
8,0.03328954800963402
9,0.026352928951382637
10,0.020862312987446785
11,0.016530804336071014
12,0.013122214935719967
13,0.010444221086800098
14,0.00834174919873476
15,0.0066908844746649265
16,0.0053933532908558846
17,0.004371730610728264
18,0.0035653437953442335
19,0.0029268383514136076
20,0.0024193800054490566
21,0.0020143643487244844
22,0.0016896123997867107
23,0.0014279215829446912
24,0.0012159449979662895
25,0.001043309224769473
26,0.0009019372519105673
27,0.0007855216390453279
28,0.0006891244556754827
29,0.0006088628433644772
30,0.0005416737985797226
31,0.0004851306730415672
