row_in_bag,weight
0,0.19639277458190918
1,0.15975435078144073
2,0.12924213707447052
3,0.104032963514328
4,0.08336413651704788
5,0.06654107570648193
6,0.052941419184207916
7,0.042016420513391495
8,0.03328954428434372
9,0.026352927088737488
10,0.020862309262156487
11,0.016530802473425865
12,0.013122216798365116
13,0.010444222018122673
14,0.00834174919873476
15,0.006690881680697203
16,0.00539335235953331
17,0.0043717301450669765
18,0.0035653430968523026
19,0.002926838118582964
20,0.002419379772618413
21,0.002014364115893841
22,0.0016896120505407453
23,0.0014279213501140475
24,0.001215945347212255
25,0.001043308642692864
26,0.00090193678624928
27,0.0007855219300836325
28,0.0006891247467137873
29,0.0006088624941185117
30,0.0005416737403720617
31,0.00048513038200326264
