row_in_bag,weight
0,0.19639275968074799
1,0.15975433588027954
2,0.12924213707447052
3,0.10403294861316681
4,0.08336415141820908
5,0.06654108315706253
6,0.05294141173362732
7,0.042016416788101196
8,0.03328954055905342
9,0.02635292522609234
10,0.020862307399511337
11,0.016530800610780716
12,0.013122213073074818
13,0.010444218292832375
14,0.008341748267412186
15,0.006690881215035915
16,0.005393351893872023
17,0.004371729679405689
18,0.003565342864021659
19,0.0029268378857523203
20,0.0024193795397877693
21,0.002014363883063197
22,0.0016896119341254234
23,0.0014279212336987257
24,0.0012159452307969332
25,0.0010433085262775421
26,0.0009019367280416191
27,0.0007855211151763797
28,0.0006891240482218564
29,0.0006088627269491553
30,0.0005416736821644008
31,0.00048513058573007584
