row_in_bag,weight
0,0.07453026622533798
1,0.06892836838960648
2,0.06381634622812271
3,0.05914915353059769
4,0.05488584190607071
5,0.050989169627428055
6,0.047425463795661926
7,0.04416408762335777
8,0.04117736220359802
9,0.03844014182686806
10,0.03592969849705696
11,0.03362548351287842
12,0.03150886297225952
13,0.02956295758485794
14,0.02777252532541752
15,0.02612377516925335
16,0.024604160338640213
17,0.023202374577522278
18,0.021908173337578773
19,0.020712241530418396
20,0.019606146961450577
21,0.018582262098789215
22,0.017633629962801933
23,0.016753947362303734
24,0.01593751460313797
25,0.015179086476564407
26,0.014473957940936089
27,0.01381781604140997
28,0.013206732459366322
29,0.012637132778763771
30,0.012105748057365417
31,0.011609608307480812
