row_in_bag,weight
0,0.07453024387359619
1,0.06892834603786469
2,0.06381633877754211
3,0.05914914235472679
4,0.05488581582903862
5,0.05098915845155716
6,0.04742544889450073
7,0.044164083898067474
8,0.04117734730243683
9,0.03844013065099716
10,0.03592970222234726
11,0.033625487238168716
12,0.03150886297225952
13,0.02956295944750309
14,0.027772530913352966
15,0.026123762130737305
16,0.024604152888059616
17,0.023202378302812576
18,0.021908173337578773
19,0.020712248980998993
20,0.019606169313192368
21,0.018582269549369812
22,0.01763363741338253
23,0.01675396040081978
24,0.01593751460313797
25,0.015179085545241833
26,0.014473960734903812
27,0.013817812316119671
28,0.013206731528043747
29,0.012637132778763771
30,0.012105741538107395
31,0.011609605513513088
