row_in_bag,weight
0,0.07979543507099152
1,0.07415415346622467
2,0.06886886805295944
3,0.06392382085323334
4,0.059303149580955505
5,0.05499105527997017
6,0.05097176879644394
7,0.04722977057099342
8,0.04374976083636284
9,0.04051678255200386
10,0.037516262382268906
11,0.03473406657576561
12,0.03215653821825981
13,0.02977054752409458
14,0.02756349742412567
15,0.0255233496427536
16,0.023638641461730003
17,0.02189849503338337
18,0.020292598754167557
19,0.01881122961640358
20,0.01744522713124752
21,0.016185974702239037
22,0.015025421045720577
23,0.01395601499825716
24,0.012970726937055588
25,0.012062995694577694
26,0.011226721107959747
27,0.010456254705786705
28,0.009746341034770012
29,0.00909212976694107
30,0.008489135652780533
31,0.007933216169476509
