row_in_bag,weight
0,0.002892368705943227
1,0.003249468980357051
2,0.0036551214288920164
3,0.0041159652173519135
4,0.004639485385268927
5,0.005234105978161097
6,0.005909278057515621
7,0.006675575859844685
8,0.007544800639152527
9,0.008530077524483204
10,0.009645961225032806
11,0.010908533819019794
12,0.012335489504039288
13,0.013946246355772018
14,0.015761995688080788
15,0.01780579425394535
16,0.020102599635720253
17,0.022679312154650688
18,0.025564776733517647
19,0.02878979779779911
20,0.032387033104896545
21,0.03639101982116699
22,0.04083798825740814
23,0.045765798538923264
24,0.05121369659900665
25,0.05722217261791229
26,0.06383268535137177
27,0.07108749449253082
28,0.07902920246124268
29,0.08770054578781128
30,0.09714403003454208
31,0.10740160197019577
